"Ticker
","Company Name
","Exchange
","Sector L2
","20. Attributable to parent company
Year: 2019
Unit: Billions VND
","20. Attributable to parent company
Year: 2020
Unit: Billions VND
","20. Attributable to parent company
Year: 2021
Unit: Billions VND
","20. Attributable to parent company
Year: 2022
Unit: Billions VND
","20. Attributable to parent company
Year: 2023
Unit: Billions VND
","3. Net sales
Year: 2019
Unit: Billions VND
","3. Net sales
Year: 2020
Unit: Billions VND
","3. Net sales
Year: 2021
Unit: Billions VND
","3. Net sales
Year: 2022
Unit: Billions VND
","3. Net sales
Year: 2023
Unit: Billions VND
","5. Gross Profit
Year: 2019
Unit: Billions VND
","5. Gross Profit
Year: 2020
Unit: Billions VND
","5. Gross Profit
Year: 2021
Unit: Billions VND
","5. Gross Profit
Year: 2022
Unit: Billions VND
","5. Gross Profit
Year: 2023
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2019
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2020
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2021
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2022
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2023
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2019
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2020
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2021
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2022
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2023
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2019
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2020
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2021
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2022
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2023
Unit: Billions VND
","1.13. Minority interests
Year: 2019
Unit: Billions VND
","1.13. Minority interests
Year: 2020
Unit: Billions VND
","1.13. Minority interests
Year: 2021
Unit: Billions VND
","1.13. Minority interests
Year: 2022
Unit: Billions VND
","1.13. Minority interests
Year: 2023
Unit: Billions VND
"
VCB,Vietcombank,HOSE,Banks,18582.25,18451.31,21996.6,29899.01,33033.2,,,,,,,,,,,,,,,,18597.34,18472.52,22016.83,29919.05,33054.45,80954.34,94094.98,109186.43,135646.08,165012.67,0.0,0.0,0.0,0.0,0.0
BID,BIDV,HOSE,Banks,8368.49,6996.62,10540.14,18085.91,21504.92,,,,,,,,,,,,,,,,8547.76,7223.56,10841.27,18348.52,21977.14,77652.98,79646.61,86329.03,104118.5,122866.89,0.0,0.0,0.0,0.0,0.0
HPG,Hoa Phat Group,HOSE,Basic Resources,7527.44,13450.3,34478.14,8483.51,6835.06,63658.19,90118.5,149679.79,141409.27,118953.03,11185.37,18904.05,41108.41,16763.43,12937.84,9030.98,15292.3,37008.44,9794.03,7650.76,7578.25,13506.16,34520.95,8444.43,6800.39,47786.64,59219.79,90780.63,96112.94,102836.42,0.0,0.0,0.0,0.0,0.0
GAS,PetroVietnam Gas,HOSE,Utilities,11902.25,7854.96,8672.97,14798.32,11606.03,75005.3,64134.97,78992.16,100723.55,89953.91,16918.61,11406.02,13985.65,21314.54,16924.92,15072.07,9964.44,11173.11,18727.89,14619.12,12085.65,7971.79,8851.81,15066.39,11793.1,49614.53,49499.68,52192.73,61173.56,65298.62,0.0,0.0,0.0,0.0,0.0
FPT,FPT Corp,HOSE,Technology,3135.35,3538.01,4337.41,5310.11,6465.19,27716.96,29830.4,35657.26,44009.53,52617.9,10712.05,11813.66,13631.96,17167.28,20319.55,4609.87,5190.65,6228.49,7589.29,9111.75,3911.71,4423.75,5349.3,6491.34,7788.05,16799.29,18605.67,21417.99,25356.12,29933.01,0.0,0.0,0.0,0.0,0.0
CTG,VietinBank,HOSE,Banks,9461.27,13720.2,14088.76,16923.72,19903.55,,,,,,,,,,,,,,,,9476.99,13785.21,14215.34,16983.64,20044.62,77354.82,85439.22,93649.51,108316.31,125871.82,0.0,0.0,0.0,0.0,0.0
VHM,Vinhomes,HOSE,Real Estate,21747.38,27351.28,38824.56,28830.87,33371.41,51626.93,71546.74,84985.61,62392.6,103556.72,27455.61,25936.08,48459.56,30696.33,35706.6,29715.47,37305.84,47664.94,37973.05,44045.41,24319.1,28206.54,38948.48,29161.59,33532.88,64715.04,89129.92,131407.41,148521.84,182636.31,0.0,0.0,0.0,0.0,0.0
VIC,VinGroup,HOSE,Real Estate,7545.92,5464.63,-2513.88,8781.86,2156.92,130036.01,110490.03,125687.87,101793.58,161427.57,37551.22,17312.81,34064.7,14693.83,23508.48,15756.41,14654.7,7760.91,8004.36,-4905.38,7716.61,4545.57,-7558.16,2044.34,2056.06,120588.59,135852.72,159571.87,135655.45,148221.69,0.0,0.0,0.0,0.0,0.0
TCB,Techcombank,HOSE,Banks,10075.14,12324.99,18052.25,20150.38,18003.8,,,,,,,,,,,,,,,,10226.21,12582.47,18415.38,20436.43,18190.87,62072.77,74614.79,93041.47,113424.97,131616.06,0.0,0.0,0.0,0.0,0.0
VPB,VPBank,HOSE,Banks,8260.26,10413.76,11721.21,18167.97,9973.94,,,,,,,,,,,,,,,,8260.26,10413.76,11477.17,16908.81,8494.17,42209.74,52793.5,86278.15,103501.92,139795.53,0.0,0.0,0.0,0.0,0.0
